return_preset,transfer_policy,tax_scenario,tax_system,seed_count,calibrated_rate_mean,calibrated_rate_std,calibrated_rate_ci_low,calibrated_rate_ci_high,first_year_revenue_difference_mean,first_year_revenue_difference_std,first_year_revenue_difference_ci_low,first_year_revenue_difference_ci_high,final_gini_mean,final_gini_std,final_gini_ci_low,final_gini_ci_high,final_disposable_income_gini_mean,final_disposable_income_gini_std,final_disposable_income_gini_ci_low,final_disposable_income_gini_ci_high,final_top_10_share_mean,final_top_10_share_std,final_top_10_share_ci_low,final_top_10_share_ci_high,final_top_1_share_mean,final_top_1_share_std,final_top_1_share_ci_low,final_top_1_share_ci_high,final_capital_income_share_mean,final_capital_income_share_std,final_capital_income_share_ci_low,final_capital_income_share_ci_high,final_transfer_spending_share_mean,final_transfer_spending_share_std,final_transfer_spending_share_ci_low,final_transfer_spending_share_ci_high,final_means_tested_recipient_share_mean,final_means_tested_recipient_share_std,final_means_tested_recipient_share_ci_low,final_means_tested_recipient_share_ci_high,final_unemployment_rate_mean,final_unemployment_rate_std,final_unemployment_rate_ci_low,final_unemployment_rate_ci_high,shorrocks_index_mean,shorrocks_index_std,shorrocks_index_ci_low,shorrocks_index_ci_high,rank_correlation_mean,rank_correlation_std,rank_correlation_ci_low,rank_correlation_ci_high,top_20_persistence_mean,top_20_persistence_std,top_20_persistence_ci_low,top_20_persistence_ci_high,bottom_40_to_top_40_mean,bottom_40_to_top_40_std,bottom_40_to_top_40_ci_low,bottom_40_to_top_40_ci_high
baseline_return_heterogeneity,lump_sum_only,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4104794829996883,0.0036337025811250473,0.4063675614394878,0.41459140455988874,0.23559695689540994,0.0016607151792292993,0.2337176807580903,0.23747623303272958,0.3261257095467252,0.003643395890433389,0.3220028189744373,0.33024860011901314,0.08536832839712964,0.0031399806375688177,0.08181510581108252,0.08892155098317676,0.2629139724021351,0.002424401925852975,0.2601705033572856,0.2656574414469846,1.0000000000000002,2.7194799110210365e-16,0.9999999999999999,1.0000000000000004,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7382083333333332,0.010875957812226647,0.7259010284789885,0.750515638187678,0.658443316748433,0.011913565929828972,0.6449618477751066,0.6719247857217595,0.7138333333333332,0.008607167555783609,0.7040934063429611,0.7235732603237053,0.16366666666666665,0.008232304254176558,0.15435093743535516,0.17298239589797815
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.39893700359401385,0.003592882501545526,0.3948712743023232,0.4030027328857045,0.19619486611656414,0.0014558402213142281,0.19454742781896533,0.19784230441416295,0.3222684398890554,0.003626238235155833,0.31816496503147806,0.32637191474663274,0.08522776558544305,0.003214683030103305,0.0815900092843757,0.08886552188651041,0.2628215228019457,0.00248430737245227,0.26001026436268493,0.2656327812412065,1.0,2.3551386880256624e-16,0.9999999999999998,1.0000000000000002,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7321249999999999,0.009563112725467612,0.7213033192155746,0.7429466807844253,0.669975199271752,0.01107627811029942,0.657441210660495,0.682509187883009,0.7376666666666667,0.004932882862316252,0.7320845842197259,0.7432487491136075,0.15608333333333332,0.008292818177997964,0.14669912615081415,0.1654675405158525
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.3923071667268348,0.0035296160379486158,0.3883130301783293,0.3963013032753403,0.16888782103865907,0.0016517947762639384,0.16701863928756394,0.1707570027897542,0.320883210234622,0.0036699828938290303,0.31673023363574193,0.3250361868335021,0.08520049711107036,0.003233775799270181,0.08154113530778359,0.08885985891435713,0.2627777380049264,0.002511977699921045,0.25993516764248076,0.265620308367372,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7257083333333333,0.00801593465126393,0.7166374493570544,0.7347792173096122,0.6792839177888391,0.010390206071610505,0.6675262927749743,0.6910415428027039,0.7478333333333333,0.0035118845842841916,0.7438592618135386,0.7518074048531281,0.149,0.007262919523166982,0.140781232858066,0.15721876714193397
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.4060771248004089,0.003610466731599237,0.40199149707920645,0.4101627525216114,0.22170452576247035,0.0014438306944767009,0.22007067752383444,0.22333837400110626,0.32427264617482127,0.0036330799750432263,0.3201614291597271,0.3283838631899154,0.08527727326216918,0.00317532530484181,0.08168405441991967,0.08887049210441868,0.26287602033249524,0.0024508350908879237,0.2601026393455467,0.26564940131944376,0.9999999999999999,1.9229626863835638e-16,0.9999999999999997,1.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.737,0.01125208314046785,0.7242670692690174,0.7497329307309826,0.6619402561714026,0.011638458522467822,0.6487701005360405,0.6751104118067648,0.7211666666666666,0.008326663997864539,0.711744159333454,0.7305891739998792,0.16083333333333336,0.009073771725877474,0.15056539401827224,0.17110127264839448
baseline_return_heterogeneity,no_transfers,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.48549807379338833,0.004256440994870336,0.48068145737919915,0.4903146902075775,0.33656708127915685,0.00237245025604218,0.33388240108298556,0.33925176147532815,0.37841015160627345,0.004231349663580765,0.373621928706358,0.3831983745061889,0.10398893392696014,0.003987185382928226,0.09947700892084074,0.10850085893307954,0.22288070031106053,0.0023558786378257276,0.22021477266623604,0.225546627955885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.6885833333333333,0.007147260547463868,0.6804954466432819,0.6966712200233848,0.7245311202573111,0.010647132256792246,0.7124827558951803,0.736579484619442,0.7501666666666668,0.00583809329604564,0.7435602421840556,0.7567730911492779,0.13999999999999999,0.007145802963978216,0.13191376272093544,0.14808623727906453
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.4783336199529867,0.0045918095991659726,0.47313749823702056,0.4835297416689528,0.29047881689792426,0.002020034198199208,0.2881929330132432,0.2927647007826053,0.3797390703056028,0.00465959382770489,0.3744662435141529,0.38501189709705264,0.1057830189253016,0.004231245619229773,0.10099491376265293,0.11057112408795028,0.2194028063035648,0.0022984081970743512,0.2168019125846393,0.22200370002249029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.6750833333333333,0.008259779557187555,0.6657365128697864,0.6844301537968801,0.7457687263256872,0.009613394383171076,0.7348901464891855,0.756647306162189,0.7768333333333333,0.005008326400438913,0.7711658784861868,0.7825007881804797,0.12325000000000001,0.006067330549755796,0.11638416914471868,0.13011583085528136
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.4739285814749377,0.004858540233798632,0.4684306256317073,0.47942653731816814,0.2545228534129032,0.002074554097735098,0.25217527445402266,0.25687043237178375,0.3815078042365016,0.005018641569088071,0.3758286766771783,0.3871869317958249,0.1068705370009152,0.004381024140422347,0.10191294148598898,0.11182813251584142,0.217465538555819,0.0022071589333154964,0.21496790309940278,0.2199631740122352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.6628333333333334,0.01100733656854974,0.6503773594207439,0.6752893072459228,0.7634492416504924,0.008734864992291319,0.7535648114074089,0.7733336718935759,0.7945000000000001,0.0035000000000000348,0.7905393771533592,0.798460622846641,0.10791666666666666,0.004346933785248329,0.10299764802018396,0.11283568531314936
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.4828496155299857,0.004372909514364283,0.4779012025788759,0.48779802848109544,0.32146240155112676,0.002104026892004755,0.3190814709858637,0.3238433321163898,0.3784672429077937,0.0043985368808274455,0.3734898298615087,0.38344465595407873,0.10463917286220921,0.004089871602888695,0.10001104745928677,0.10926729826513165,0.22152609092338615,0.002338164023416518,0.21888020925186127,0.22417197259491103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.6850833333333334,0.006361914675106277,0.6778841491588746,0.6922825175077921,0.7310305463703054,0.010286988108439471,0.7193897234773317,0.7426713692632791,0.761,0.006383572667401827,0.7537763075000847,0.7682236924999153,0.13516666666666668,0.007112196097783963,0.12711845913676012,0.14321487419657325
baseline_return_heterogeneity,universal_plus_safety_floor,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4055602513819672,0.0034970519629332186,0.4016029645533148,0.40951753821061965,0.20755621347057587,0.0014871948778000393,0.2058732940390267,0.20923913290212504,0.32579066950704955,0.0035063306636048328,0.32182288284014937,0.3297584561739497,0.0854772427315572,0.003144796183154777,0.081918570842691,0.0890359146204234,0.26248636585418905,0.0024251181026421526,0.25974208637901,0.26523064532936813,1.0000000000000002,2.220446049250313e-16,1.0,1.0000000000000004,0.3560999999999999,0.003465544690232679,0.35217836700680266,0.36002163299319717,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7280000000000001,0.009752403549894801,0.7169641164830359,0.7390358835169643,0.6713725664697257,0.011396509311821321,0.6584762021404815,0.6842689307989698,0.7208333333333332,0.00711219609778395,0.7127851258034267,0.7288815408632398,0.15758333333333333,0.007371114795832,0.14924213171459488,0.16592453495207177
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.39468117132951597,0.0034658875493804005,0.3907591503546691,0.3986031923043628,0.1701087849527453,0.001329679170294875,0.16860411132401038,0.17161345858148025,0.32203826576972167,0.003497340732406975,0.31808065216764775,0.3259958793717956,0.08531831423619494,0.0032179282513415237,0.08167688562159088,0.08895974285079901,0.2624763631698739,0.002488011451058891,0.2596609131710831,0.2652918131686647,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.3239,0.0019974984355438214,0.32163961773144456,0.3261603822685555,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7241249999999999,0.004985917668794778,0.7184829030198574,0.7297670969801424,0.6814597642305976,0.010550721052652645,0.669520499416406,0.6933990290447892,0.7425,0.003122498999199211,0.7389665597500453,0.7460334402499548,0.15025,0.006878408246098809,0.14246634832913666,0.15803365167086333
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.388820448826594,0.0034170659584972034,0.38495367468267894,0.39268722297050906,0.14507074127930877,0.0015547913494481265,0.14331132923919912,0.14683015331941843,0.3207501018713555,0.003575404464494034,0.31670415084048215,0.32479605290222885,0.085280956107183,0.003234749700131391,0.08162049223132443,0.08894141998304157,0.2624724978098805,0.0025178997304014326,0.2596232260390866,0.26532176958067444,1.0,7.850462293418876e-17,0.9999999999999999,1.0,0.28673333333333334,0.0015275252316519481,0.28500477581010447,0.2884618908565622,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7196666666666666,0.006320024393412867,0.7125148858084156,0.7268184475249175,0.6891644935716449,0.009950704548754108,0.6779042113499396,0.7004247757933502,0.7535,0.0027838821814150433,0.7503497407514089,0.756650259248591,0.14416666666666667,0.005680742322384747,0.13773830157297623,0.1505950317603571
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.40128394211647106,0.0034728328686868884,0.3973540617729606,0.4052138224599815,0.1940748545724674,0.0012945443380163772,0.19260993974928534,0.19553976939564946,0.32396022862480683,0.003492619838250363,0.32000795721737674,0.32791250003223693,0.08538050874742424,0.0031816543058818376,0.08178012796628459,0.0889808895285639,0.26248267036921463,0.0024528072902507553,0.2597070576285934,0.26525828310983585,0.9999999999999999,1.3597399555105182e-16,0.9999999999999998,1.0,0.34846666666666665,0.0028005951748393413,0.3452974948856207,0.35163583844771257,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7280000000000001,0.009002603790015428,0.7178125947857171,0.738187405214283,0.6745283479532835,0.011113712142127662,0.6619519987472549,0.6871046971593122,0.7281666666666666,0.0063508529610858885,0.72098,0.7353533333333333,0.15491666666666667,0.008032486124067283,0.145827052935722,0.16400628039761134
high_return_heterogeneity,lump_sum_only,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.460917231187662,0.004170866227646199,0.4561974517386625,0.46563701063666146,0.23559695689540994,0.0016607151792292993,0.2337176807580903,0.23747623303272958,0.3612357847933137,0.004827374249776849,0.3557730965810417,0.36669847300558567,0.09752102842267296,0.0028157417036690432,0.09433471673073268,0.10070734011461324,0.3045960051836347,0.0033786694226171227,0.30077268081035924,0.3084193295569102,1.0000000000000002,2.7194799110210365e-16,0.9999999999999999,1.0000000000000004,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.8162916666666667,0.007649891066762532,0.8076350000000001,0.8249483333333334,0.5543358852313589,0.011818340870708805,0.5409621735565251,0.5677095969061927,0.603,0.0025000000000000022,0.6001709836809708,0.6058290163190292,0.19641666666666668,0.007815582725128896,0.18757250223782185,0.20526083109551152
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.45155733675188575,0.004227171662371349,0.4467738417054113,0.4563408317983602,0.19619486611656414,0.0014558402213142281,0.19454742781896533,0.19784230441416295,0.35715895730565334,0.005078893918860842,0.35141164779402323,0.36290626681728344,0.09728299522717902,0.0028753945971635264,0.09402917993156945,0.1005368105227886,0.3044781915673684,0.003505808088228283,0.30051099625017547,0.3084453868845613,1.0,2.3551386880256624e-16,0.9999999999999998,1.0000000000000002,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.8147083333333333,0.0061699034298223114,0.8077264303374128,0.8216902363292538,0.5585672090496722,0.011244051169414725,0.5458433673495628,0.5712910507497815,0.6086666666666667,0.0025166114784235852,0.6058188526902201,0.6115144806431133,0.19475,0.006139014578904343,0.18780305102940867,0.20169694897059134
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.44628932310607156,0.004211512755692371,0.44152354778061026,0.45105509843153285,0.16888782103865907,0.0016517947762639384,0.16701863928756394,0.1707570027897542,0.3553464931407826,0.005148628030065397,0.3495202720537162,0.36117271422784897,0.0972190797999894,0.0028623991958410823,0.09397997018534524,0.10045818941463355,0.30441544828554296,0.00356133666880721,0.30038541646409794,0.30844548010698797,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.8141666666666666,0.006899199832830851,0.8063594871005378,0.8219738462327953,0.5619746097517461,0.010806979538614099,0.5497453611620846,0.5742038583414075,0.6133333333333334,0.002362907813126275,0.610659451427855,0.6160072152388117,0.19183333333333333,0.0033291640592396994,0.18806602955240753,0.19560063711425912
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.4573132248955169,0.004189569859657223,0.4525722802944437,0.4620541694965901,0.22170452576247035,0.0014438306944767009,0.22007067752383444,0.22333837400110626,0.3594611097714286,0.004936551667002961,0.3538748756811558,0.3650473438617014,0.09739323111484065,0.0028510602442363923,0.09416695273184864,0.10061950949783266,0.30454992846078527,0.003435754051697746,0.3006620067486159,0.30843785017295466,0.9999999999999999,1.9229626863835638e-16,0.9999999999999997,1.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.8164166666666667,0.005812612006089273,0.8098390769781021,0.8229942563552313,0.5555902361439023,0.011656634619635302,0.5423995123183389,0.5687809599694658,0.6043333333333334,0.0018929694486001123,0.6021912367487281,0.6064754299179387,0.19541666666666668,0.006525590650150637,0.18803226569043457,0.2028010676428988
high_return_heterogeneity,no_transfers,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5304062907845289,0.00474175765367112,0.5250404868712821,0.5357720946977758,0.33656708127915685,0.00237245025604218,0.33388240108298556,0.33925176147532815,0.414184822107351,0.005342158843158598,0.40813960028889434,0.4202300439258077,0.11777964874404277,0.0033612127094297117,0.11397607850136081,0.12158321898672474,0.2640983589132452,0.0033988305186784477,0.2602522201120629,0.26794449771442747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.7782916666666667,0.006134346610139739,0.7713500000000001,0.7852333333333333,0.6295162469671626,0.01086952310923101,0.617216223664731,0.6418162702695942,0.6376666666666666,0.0038837267325770486,0.6332718161446225,0.6420615171887107,0.166,0.007611668673819159,0.15738658604268901,0.174613413957311
