return_preset,transfer_policy,tax_scenario,tax_system,calibrated_rate,first_year_revenue_difference,final_gini,final_disposable_income_gini,final_top_10_share,final_top_1_share,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_share,final_unemployment_rate,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.4097501616659187,0.2201997460540428,0.3284076738404796,0.08890342213021353,0.26496285507792955,1.0,0.0,0.0283,0.73725,0.6567636249396362,0.7305,0.1645,1
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.40259714133273383,0.1946946254145252,0.3263568582592882,0.08889004726889392,0.26494039455757323,0.9999999999999999,0.0,0.0283,0.73225,0.6654293170742932,0.741,0.158,1
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.3959143952667128,0.16715577719748476,0.32500275470316853,0.088877236314843,0.26492719848278196,1.0,0.0,0.0283,0.7295,0.6754188106301882,0.7515,0.1485,1
baseline_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.4090290211474259,0.2059914664162794,0.3298014463775821,0.08906160916379052,0.2645259766474997,1.0000000000000004,0.3542,0.0283,0.7282500000000001,0.6661486938614869,0.729,0.16025,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.40473665547396553,0.19267970364777431,0.32793389933805783,0.08901003851874366,0.264548219604472,0.9999999999999998,0.3468,0.0283,0.72775,0.6697182460331825,0.7355,0.15575,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.39813487701570516,0.16869042082490582,0.32597536480101574,0.08897941276151343,0.2645773823276302,0.9999999999999999,0.3252,0.0283,0.72675,0.6773305614893056,0.7435,0.1505,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.392243134235168,0.14339289166322478,0.3247555115168741,0.08895428500491163,0.2646091811209245,0.9999999999999999,0.2864,0.0283,0.7253750000000001,0.685723901429239,0.756,0.14325,1
high_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.5335020923431679,0.33414330572126016,0.41820854374798494,0.12025630394512367,0.2662177237619295,0.0,0.0,0.0283,0.7747499999999999,0.6286143420221434,0.642,0.1675,1
high_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.5317704809390753,0.31930360872377817,0.41825473699725574,0.12109227255133465,0.2648758079409593,0.0,0.0,0.0283,0.772,0.6332941201409412,0.6495,0.1645,1
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.5288815880861155,0.2884227638064212,0.4192655897747785,0.12249291610446418,0.26273588484373633,0.0,0.0,0.0283,0.768375,0.6427419565274196,0.6575,0.158,1
high_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.5262145066515069,0.2523815654409598,0.4208983806662998,0.12386648499017357,0.26071595507278966,0.0,0.0,0.0283,0.75875,0.653476807878768,0.669,0.151,1
high_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.4634846433206319,0.23390031400488254,0.36450487697772427,0.09944827506839045,0.3066620023168259,1.0,0.0,0.0283,0.811875,0.5545523980695239,0.6055,0.19525,1
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.45989945948649047,0.2201997460540428,0.3626806572274755,0.09937478240784645,0.30667081318785017,1.0,0.0,0.0283,0.812875,0.556190303237903,0.6065,0.19475,1
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.4541850479925851,0.1946946254145252,0.3603527276853149,0.09935692464613215,0.30666854100467333,0.9999999999999999,0.0,0.0283,0.81025,0.5598093510540935,0.611,0.19325,1
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.44892974887632975,0.16715577719748476,0.35853724210487226,0.09936228062662535,0.3066741649025407,1.0,0.0,0.0283,0.809875,0.5638047624460476,0.616,0.189,1
high_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.4593516446449717,0.2059914664162794,0.36375872614521193,0.09955990657398146,0.3061969063906529,1.0000000000000004,0.3542,0.0283,0.809375,0.5610284341142844,0.607,0.1915,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.45587948178902016,0.19267970364777431,0.36194004211519093,0.09948983032097124,0.306241176326313,0.9999999999999998,0.3468,0.0283,0.808875,0.5624648447966484,0.609,0.19075,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.4506371435134795,0.16869042082490582,0.35969353176140356,0.09945615169117239,0.30629038888193433,0.9999999999999999,0.3252,0.0283,0.80725,0.5654789743347898,0.613,0.19,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.4460396682845651,0.14339289166322478,0.3580435340026079,0.09945000445345813,0.30634153438391565,0.9999999999999999,0.2864,0.0283,0.807125,0.5686473669704737,0.6175,0.18775,1
low_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.46932269899576706,0.33667329991631756,0.36590396778518613,0.10062026061141927,0.21488239474656992,0.0,0.0,0.0291,0.6749999999999999,0.7563700224157002,0.7795,0.1385,2
low_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.4664170599940076,0.32157658332094186,0.3661829194525415,0.10129325439555381,0.2135469815563903,0.0,0.0,0.0291,0.6652499999999999,0.7637982758339826,0.794,0.134,2
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.4613770626494107,0.2905528924881311,0.36763543331687026,0.10244081462010922,0.21146532444057634,0.0,0.0,0.0291,0.648625,0.7813788240137882,0.8145,0.11525,2
low_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.45638659903665557,0.25466347639355447,0.3694123425731867,0.10349623009028233,0.2096190889450367,0.0,0.0,0.0291,0.6251249999999999,0.8032316773483167,0.8395,0.096,2
low_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.39310724881117487,0.23567130994142227,0.31443381610383453,0.08238553252112131,0.2550146186238212,1.0000000000000004,0.0,0.0291,0.72375,0.6937015902730159,0.7485,0.156,2
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.3885286555803471,0.2218353244358091,0.31268704089926197,0.08231984434516583,0.25497045504650295,1.0,0.0,0.0291,0.723875,0.6981308183613082,0.756,0.15275,2
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.3810010366123955,0.19628815381998188,0.3110038348775937,0.08229863909987051,0.25491319164444126,1.0000000000000002,0.0,0.0291,0.71675,0.7087027233070272,0.7725,0.1445,2
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.3739963881522761,0.16906214643469197,0.30991013059490674,0.08230796546187147,0.25487119805132646,1.0,0.0,0.0291,0.70625,0.7213145112011452,0.7895,0.1345,2
low_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.38793518572202723,0.20772586879446298,0.3142135022122032,0.08251257959001952,0.254593217294467,1.0000000000000002,0.354,0.0291,0.711875,0.7105186857011867,0.755,0.1505,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.38348228472632084,0.19430766077368933,0.3125420485031943,0.08244372845606518,0.2545823738442637,0.9999999999999998,0.3469,0.0291,0.710125,0.714552889937529,0.7615,0.14575,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.37649684056817345,0.17030882155949234,0.31092474055891056,0.08241622499568449,0.2545712511440958,0.9999999999999999,0.3216,0.0291,0.7015,0.7238846111428462,0.7805,0.1365,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.3702814890366848,0.14535650097667063,0.309888782986314,0.08241515328455054,0.25456617411772076,1.0,0.2854,0.0291,0.690375,0.7345450222574501,0.7965,0.126,2
baseline_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.4813438487200967,0.33667329991631756,0.3754895705995723,0.10237930612494184,0.22030918564987442,0.0,0.0,0.0291,0.69475,0.7183600388356004,0.749,0.14425,2
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.47861561153387866,0.32157658332094186,0.37533444827867213,0.1029692109557794,0.21896678498406563,0.0,0.0,0.0291,0.688375,0.7247710570797105,0.7625,0.1385,2
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.4739426838184433,0.2905528924881311,0.3762696428117613,0.10413257779423359,0.216874824068679,0.0,0.0,0.0291,0.6808749999999999,0.7394419898424199,0.7765,0.1265,2
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.46937492257512137,0.25466347639355447,0.37774524401429904,0.1051968984660373,0.2150196908270885,0.0,0.0,0.0291,0.6693749999999999,0.7570430030144301,0.797,0.11125,2
baseline_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.4069023496953472,0.23567130994142227,0.32353853670325516,0.0840642278268661,0.2602435236295678,1.0000000000000004,0.0,0.0291,0.749,0.650319094271191,0.707,0.1695,2
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.4025326631137842,0.2218353244358091,0.32159240911063863,0.08393427763181108,0.2601771775758771,1.0,0.0,0.0291,0.748125,0.653788200117882,0.7145,0.1675,2
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.3954153826355622,0.19628815381998188,0.31944114056828193,0.08392098782148852,0.2600874018841248,1.0000000000000002,0.0,0.0291,0.741625,0.6618951140949512,0.732,0.16325,2
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.388860653777378,0.16906214643469197,0.31796274672599495,0.08392648337255967,0.26001632560699434,1.0,0.0,0.0291,0.7311249999999999,0.6713802072298021,0.7445,0.1565,2
baseline_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.4020355872843848,0.20772586879446298,0.3233061084581707,0.08418902478526975,0.25980487797564356,1.0000000000000002,0.354,0.0291,0.737625,0.663524398055244,0.716,0.16325,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.39779133347747964,0.19430766077368933,0.3213768623540381,0.08405850075057078,0.2597716843910437,0.9999999999999998,0.3469,0.0291,0.737125,0.6666299146862992,0.7245,0.1625,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.39120322903129967,0.17030882155949234,0.3192913650403604,0.08403761078984699,0.25972894762581794,0.9999999999999999,0.3216,0.0291,0.72725,0.6735981388119814,0.739,0.157,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.3854090301798352,0.14535650097667063,0.31788077298741757,0.08403046290406002,0.25969659726120575,1.0,0.2854,0.0291,0.72075,0.6813906722379067,0.7505,0.15025,2
high_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.52494734472571,0.33667329991631756,0.4081237750447678,0.11395339047610588,0.26017803523678473,0.0,0.0,0.0291,0.7853749999999999,0.6191257761832578,0.6365,0.17275,2
high_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.5229198254224983,0.32157658332094186,0.40790809666411826,0.11450999994525286,0.25879913947898203,0.0,0.0,0.0291,0.7845,0.6232079977360799,0.6415,0.16875,2
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.5195185216425782,0.2905528924881311,0.40842617796443226,0.11561783747717778,0.2566528638480078,0.0,0.0,0.0291,0.779875,0.6316793323367933,0.6515,0.16425,2
high_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.5162613618936205,0.25466347639355447,0.4093683844885794,0.11674064483252992,0.2547499429018782,0.0,0.0,0.0291,0.7731250000000001,0.6411486136114862,0.6605,0.15625,2
high_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.4561047262754607,0.23567130994142227,0.35569121064944714,0.09428965475713778,0.30069697295506614,1.0000000000000004,0.0,0.0291,0.825125,0.5424107754841078,0.6005,0.20475,2
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.45247948073614186,0.2218353244358091,0.353777587401836,0.09412569562787244,0.3005859035024857,1.0,0.0,0.0291,0.823125,0.5436451577164516,0.6035,0.20225,2
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.4466811321186259,0.19628815381998188,0.3513023730054934,0.09400058921067664,0.30043471778682274,1.0000000000000002,0.0,0.0291,0.82175,0.5467536629355366,0.609,0.2015,2
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.4414324516983852,0.16906214643469197,0.3494068452582603,0.09396840921366599,0.3003100576684721,1.0,0.0,0.0291,0.822125,0.5503694112076941,0.6125,0.1955,2
high_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.45217312476585425,0.20772586879446298,0.35516860666710914,0.09440636636715506,0.30021860355593244,1.0000000000000002,0.354,0.0291,0.819625,0.5489216258332164,0.603,0.20075,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3321439708741842,-4.76837158203125e-07,0.4486618757441314,0.19430766077368933,0.3532805435533797,0.09422876156888586,0.30014049103791024,0.9999999999999998,0.3469,0.0291,0.8186249999999999,0.5499633367836334,0.6065,0.20075,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.44332168398121485,0.17030882155949234,0.35089798415612433,0.09409315871173224,0.30003797279787564,0.9999999999999999,0.3216,0.0291,0.82,0.5523599704955996,0.61,0.19775,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.4387137026696648,0.14535650097667063,0.3491437316829481,0.09407064852993517,0.2999553833710048,1.0,0.2854,0.0291,0.819875,0.5550694218546942,0.616,0.19375,2
